City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
138,Saint-Philippe,RE,-21.3585,55.7679,78.39,79,65,9.69,broken clouds
139,Kalat,PK,29.0225,66.5916,48.22,43,0,0.29,clear sky
140,Hay River,CA,60.8156,-115.7999,-13.02,77,20,5.75,few clouds
141,Port Augusta,AU,-32.5,137.7667,67.71,92,100,12.68,overcast clouds
142,Luderitz,NA,-26.6481,15.1594,68.45,65,4,20.42,clear sky
143,Nantucket,US,41.2835,-70.0995,42.96,63,37,20.0,scattered clouds
144,Kardla,EE,58.9978,22.7492,39.06,93,0,3.44,clear sky
145,Pangnirtung,CA,66.1451,-65.7125,19.4,86,90,4.61,light snow
146,Chokurdakh,RU,70.6333,147.9167,-12.6,98,100,5.26,overcast clouds
147,Avarua,CK,-21.2078,-159.775,75.25,78,90,3.44,overcast clouds
148,Tuatapere,NZ,-46.1333,167.6833,47.32,81,93,4.63,overcast clouds
149,Omsukchan,RU,62.5333,155.8,-8.55,100,100,2.89,overcast clouds
150,Roma,US,43.2128,-75.4557,41.86,65,8,1.01,clear sky
151,Ribeira Grande,PT,38.5167,-28.7,66.6,82,75,24.16,broken clouds
152,Kodiak,US,57.79,-152.4072,17.29,77,81,8.72,broken clouds
153,Mwinilunga,ZM,-11.7358,24.4293,68.34,69,100,2.62,overcast clouds
154,Phan Thiet,VN,10.9333,108.1,75.61,87,100,10.18,light rain
155,Hilo,US,19.7297,-155.09,78.28,77,37,1.99,light rain
156,Pundaguitan,PH,6.3711,126.1689,77.61,88,100,7.54,overcast clouds
157,Barth,DE,54.3635,12.7249,47.08,70,90,14.94,overcast clouds
158,Fare,PF,-16.7,-151.0167,80.01,74,35,4.38,scattered clouds
159,Oranjemund,NA,-28.55,16.4333,63.48,78,74,18.45,broken clouds
160,Moindou,NC,-21.6924,165.677,69.75,78,100,4.5,overcast clouds
161,Beringovskiy,RU,63.05,179.3167,-4.99,84,100,5.7,overcast clouds
162,Shambu,ET,9.5667,37.1,57.33,62,90,1.34,overcast clouds
163,Bastrop,US,32.7562,-91.8724,62.42,59,75,4.0,broken clouds
164,Ndungu,TZ,-4.3667,38.05,77.16,81,67,5.77,broken clouds
165,Komsomolskiy,UZ,40.4272,71.7189,44.02,38,60,4.09,broken clouds
166,Sibolga,ID,1.7427,98.7792,76.05,80,74,3.2,broken clouds
167,Daru,PG,-9.0763,143.2092,79.95,85,91,3.65,overcast clouds
168,Borba,BR,-4.3878,-59.5939,94.62,45,100,4.29,overcast clouds
169,Balabac,PH,7.9868,117.0645,83.03,76,100,12.53,overcast clouds
170,Altay,CN,47.8667,88.1167,25.72,80,89,6.33,overcast clouds
171,Burns Lake,CA,54.2331,-125.7533,25.93,94,100,5.37,overcast clouds
172,Marabba,SD,12.35,32.1833,85.71,18,0,8.66,clear sky
173,Santa Isabel,BR,-23.3156,-46.2214,82.11,50,86,6.24,overcast clouds
174,Hays,US,30.0502,-98.0336,72.27,76,79,5.01,broken clouds
175,Wenling,CN,28.3669,121.36,47.91,66,71,3.74,broken clouds
176,Ambanja,MG,-13.6833,48.45,77.2,90,83,3.27,moderate rain
177,Vao,NC,-22.6667,167.4833,74.55,78,100,7.72,overcast clouds
178,Mega,ET,4.05,38.3,68.99,34,17,7.14,few clouds
179,Naze,JP,28.3667,129.4833,57.78,64,15,5.12,few clouds
180,Sao Joao Da Barra,BR,-21.6403,-41.0511,79.79,64,71,10.63,broken clouds
181,Charters Towers,AU,-20.1,146.2667,75.94,73,100,6.53,overcast clouds
182,Pisco,PE,-13.7,-76.2167,69.03,82,100,9.98,overcast clouds
183,Hashtrud,IR,37.4779,47.0508,43.79,56,84,5.48,broken clouds
184,Pizarro,CO,4.9533,-77.366,77.9,88,98,9.48,light rain
185,Vallenar,CL,-28.5708,-70.7581,82.33,16,0,8.03,clear sky
186,Magaria,NE,12.9983,8.9099,86.61,13,7,7.78,clear sky
187,Port Elizabeth,ZA,-33.918,25.5701,63.1,69,100,10.33,overcast clouds
188,Ruteng,ID,-8.6136,120.4721,62.08,88,67,0.54,broken clouds
189,North Bend,US,43.4065,-124.2243,41.13,84,85,4.99,overcast clouds
190,Samfya,ZM,-11.3649,29.5565,73.81,68,68,10.85,light rain
191,Tuktoyaktuk,CA,69.4541,-133.0374,-20.36,98,63,7.54,broken clouds
192,Tessalit,ML,20.1986,1.0114,85.24,22,8,10.74,clear sky
193,Guerrero Negro,MX,27.9769,-114.0611,67.53,68,2,6.17,clear sky
194,Maxixe,MZ,-23.8597,35.3472,71.19,68,33,14.2,scattered clouds
195,Wiang Sa,TH,8.6359,99.3666,80.67,94,100,1.61,light rain
196,Kieta,PG,-6.2167,155.6333,78.93,77,77,3.4,broken clouds
197,Khatanga,RU,71.9667,102.5,-11.31,95,79,4.14,broken clouds
198,Neuquen,AR,-38.9516,-68.0591,91.98,15,34,8.34,scattered clouds
199,Parati,BR,-23.2178,-44.7131,79.36,74,90,4.88,overcast clouds
200,Alta Floresta,BR,-9.8756,-56.0861,86.14,65,73,3.94,broken clouds
201,Bilibino,RU,68.0546,166.4372,-13.54,92,100,2.13,overcast clouds
202,Kruisfontein,ZA,-34.0033,24.7314,60.89,75,85,11.34,overcast clouds
203,Harrisonburg,US,38.4496,-78.8689,46.71,44,1,0.0,clear sky
204,Coquimbo,CL,-29.9533,-71.3436,63.43,64,49,7.05,scattered clouds
205,Gizo,SB,-8.103,156.8419,82.04,75,80,5.86,broken clouds
206,Mets Parni,AM,40.8334,44.1104,37.22,95,97,2.35,overcast clouds
207,Along,IN,28.1667,94.7667,55.81,83,4,1.77,clear sky
208,Constitucion,CL,-35.3333,-72.4167,62.19,70,79,14.94,broken clouds
209,Moroto,UG,2.5345,34.6666,75.79,43,87,6.24,overcast clouds
210,Bestobe,KZ,52.4994,73.0975,22.24,96,100,4.16,light snow
